id,name,category,description,location,coordinates,facts,rules,spooky,distance_from_pune_km,best_time_to_visit,map_link
1,"Pataleshwar Cave Temple","Hidden Hangout","An 8th-century rock-cut temple dedicated to Lord Shiva, carved from a single basalt rock. A serene escape in the heart of Pune.","Jangali Maharaj Road, Shivajinagar, Pune","[18.5277,73.8517]","The temple is a protected monument with intricate carvings depicting Shiva mythology. Locals believe it’s a spiritual hotspot with calming energy.","Photography is allowed, but maintain silence to respect worshippers. Visit early to avoid crowds.",false,2,"Morning","https://maps.app.goo.gl/7Q1YqZ6Z3Z9Z9Z9Z9"
2,"Shaniwar Wada","Mysterious Facts","A historical fort built in 1732, once the seat of the Peshwas. Known for its grand architecture and eerie legends.","Shaniwar Peth, Pune","[18.5196,73.8553]","The fort was partially destroyed by a mysterious fire in 1828. Locals claim to hear the screams of Narayanrao Peshwa on full moon nights.","Entry is restricted after 6:30 PM due to paranormal rumors. Avoid visiting alone at night.",true,1,"Evening","https://maps.app.goo.gl/8Q2YqZ6Z3Z9Z9Z9Z8"
3,"Symbiosis Road","Scary Road","A picturesque road near Symbiosis College, popular among tourists but eerie at night.","Viman Nagar, Pune","[18.5410,73.9120]","Locals report dogs barking at empty spaces and pedestrians fainting on full moon nights.","Avoid driving or walking alone after midnight. Stick to well-lit areas.",true,8,"Afternoon","https://maps.app.goo.gl/9Q3YqZ6Z3Z9Z9Z9Z7"
4,"Pashan Lake","Hidden Hangout","A serene artificial lake attracting migratory birds, perfect for nature lovers and photographers.","Pashan, Pune","[18.5333,73.7911]","The lake is a birdwatching hotspot, especially in winter. A peaceful urban escape.","Avoid littering to preserve the ecosystem. Early morning visits are best.",false,10,"Early Morning","https://maps.app.goo.gl/1Q4YqZ6Z3Z9Z9Z9Z6"
5,"Holkar Bridge","Scary Road","A colonial-era bridge with a history of accidents and mysterious deaths.","Khadki, Pune","[18.5610,73.8510]","Locals believe the bridge is haunted by spirits of accident victims. Strange apparitions at night.","Avoid driving across late at night. Chant prayers for safety.",true,5,"Morning","https://maps.app.goo.gl/2Q5YqZ6Z3Z9Z9Z9Z5"
6,"Bhaja Caves","Hidden Hangout with Trek","Ancient Buddhist rock-cut caves from the 2nd century BC, showcasing remarkable architecture.","Near Lonavala, Pune","[18.7273,73.4823]","The 22 caves include stupas and carvings, less crowded than Karla Caves.","Wear comfortable shoes for the trek. Avoid heavy rains.",false,71,"Morning","https://maps.app.goo.gl/7Q6YqZ6Z3Z9Z9Z9Z4"
7,"Karla Caves","Hidden Hangout with Trek","1st-century BC Buddhist caves with a grand chaitya hall and intricate carvings.","Near Lonavala, Pune","[18.7508,73.4687]","A UNESCO tentative site with a massive stupa and sculptures.","Entry fees apply. Avoid touching carvings. Visit early.",false,59,"Morning","https://maps.app.goo.gl/8Q7YqZ6Z3Z9Z9Z9Z3"
8,"Korigad Fort","Hidden Hangout with Trek","A hill fort with thrilling monsoon treks and panoramic valley views.","Near Aamby Valley, Pune","[18.6286,73.3892]","A 15th-century Maratha fort, ideal for adventure seekers.","Carry water and snacks. Avoid heavy rains.",false,90,"Monsoon Mornings","https://maps.app.goo.gl/9Q8YqZ6Z3Z9Z9Z9Z2"
9,"Osho Ashram Gardens","Hidden Hangout","Landscaped gardens for meditation, part of the Osho International Meditation Resort.","Koregaon Park, Pune","[18.5392,73.8932]","Known for serene ambiance and spiritual retreats.","Requires registration. Follow silence rules.",false,5,"Anytime","https://maps.app.goo.gl/1Q9YqZ6Z3Z9Z9Z9Z1"
10,"Katraj Tunnel","Scary Road","A tunnel on the Pune-Satara Highway rumored to be haunted by accident victims.","Katraj, Pune","[18.4354,73.8432]","Locals report whispers and shadowy figures at night.","Avoid stopping inside at night. Drive cautiously.",true,10,"Afternoon","https://maps.app.goo.gl/2R0YqZ6Z3Z9Z9Z9Z0"
11,"Chandan Nagar","Mysterious Facts","A residential area haunted by a girl’s spirit after a murder at a construction site.","Chandan Nagar, Pune","[18.5135,73.8927]","A girl in a white frock is seen at midnight, screaming if approached.","Avoid construction sites at night. Don’t engage apparitions.",true,7,"Morning","https://maps.app.goo.gl/3R1YqZ6Z3Z9Z9Z9Z9"
12,"Taljai Hills","Hidden Hangout with Trek","A lush hilltop with hiking trails and city views, ideal for solitude.","Sahakar Nagar, Pune","[18.4751,73.8416]","Home to diverse flora and fauna, less crowded than other hills.","Stick to marked trails. Avoid evenings due to wildlife.",false,8,"Early Morning","https://maps.app.goo.gl/4R2YqZ6Z3Z9Z9Z9Z8"
13,"Pune-Okayama Friendship Garden","Hidden Hangout","A Japanese-style garden with koi ponds and cherry blossoms.","Sinhagad Road, Pune","[18.4829,73.8236]","Inspired by Koraku-en Garden, symbolizing Indo-Japanese friendship.","Maintain silence. Avoid disturbing koi fish.",false,10,"Anytime","https://maps.app.goo.gl/5R3YqZ6Z3Z9Z9Z9Z7"
14,"Victory Theatre","Mysterious Facts","An abandoned cinema hall with rumors of paranormal activity post-closure.","Camp, Pune","[18.5178,73.8790]","Closed in the 1990s, locals hear projector sounds and see shadows.","Restricted entry due to condition. Avoid trespassing.",true,3,"Morning","https://maps.app.goo.gl/6R4YqZ6Z3Z9Z9Z9Z6"
15,"Mulshi Dam Road","Scary Road","An isolated road near Mulshi Dam with eerie vibes and accident history.","Mulshi, Pune","[18.5184,73.6617]","A woman in white is said to cause drivers to swerve at night.","Drive cautiously and avoid stopping.",true,53,"Afternoon","https://maps.app.goo.gl/7R5YqZ6Z3Z9Z9Z9Z5"
16,"Vetal Tekdi","Hidden Hangout with Trek","A hill for trekking and jogging with panoramic Pune views.","Kothrud, Pune","[18.5090,73.8060]","A biodiversity hotspot with rare plants and birds.","Stay on trails. Avoid after dark due to no lighting.",false,7,"Early Morning","https://maps.app.goo.gl/8R6YqZ6Z3Z9Z9Z9Z4"
17,"Khadakwasla Dam","Hidden Hangout","A scenic dam on the Mutha River, ideal for picnics and sunsets.","Khadakwasla, Pune","[18.4410,73.7718]","Built in 1879, a vital water source with migratory birds.","Avoid swimming due to currents. Evening visits best.",false,20,"Sunset","https://maps.app.goo.gl/9R7YqZ6Z3Z9Z9Z9Z3"
18,"Tamhini Ghat","Hidden Hangout with Trek","A mountain pass with waterfalls and lush forests, great for monsoon drives.","Mulshi, Pune","[18.4490,73.4220]","Part of the Sahyadri range, a photography hotspot.","Drive carefully in monsoons. Carry food and water.",false,61,"Monsoon","https://maps.app.goo.gl/1R8YqZ6Z3Z9Z9Z9Z2"
19,"Sinhagad Fort","Mysterious Facts with Trek","A historic hill fort with Maratha history and trekking trails.","Haveli, Pune","[18.3655,73.7555]","Site of the 1670 Battle of Sinhagad. Locals hear battle cries.","Wear sturdy shoes. Avoid rainy treks.",true,25,"Morning","https://maps.app.goo.gl/2R9YqZ6Z3Z9Z9Z9Z1"
20,"Bund Garden","Hidden Hangout","A historic park by the Mula-Mutha River with lush greenery.","Bund Garden Road, Pune","[18.5260,73.8810]","Built during British rule, hosts cultural events.","Avoid littering. Morning or evening visits ideal.",false,4,"Evening","https://maps.app.goo.gl/3S0YqZ6Z3Z9Z9Z9Z0"
21,"Lohagad Fort","Hidden Hangout with Trek","A historic fort with easy treks and monsoon views.","Near Lonavala, Pune","[18.7107,73.4757]","A key Maratha stronghold with Sahyadri views.","Carry water and snacks. Avoid heavy rains.",false,65,"Monsoon Mornings","https://maps.app.goo.gl/4S1YqZ6Z3Z9Z9Z9Z9"
22,"Wagholi Road","Scary Road","A quiet road with reports of shadowy figures at night.","Wagholi, Pune","[18.5792,73.9788]","Accidents linked to a ghostly woman in white.","Avoid stopping at night. Use headlights.",true,15,"Afternoon","https://maps.app.goo.gl/5S2YqZ6Z3Z9Z9Z9Z8"
23,"Tukaram Maharaj Paduka Mandir","Hidden Hangout","A serene temple dedicated to Saint Tukaram for meditation.","Dehu, Pune","[18.7185,73.6743]","A 17th-century shrine with peaceful ambiance.","Maintain silence and remove shoes. Visit early.",false,35,"Morning","https://maps.app.goo.gl/6S3YqZ6Z3Z9Z9Z9Z7"
